positionOrder,leagueID
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
12,3
15,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
9,3
10,3
15,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
12,3
15,3
15,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
8,3
9,3
9,3
10,3
12,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
12,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
8,3
9,3
9,3
10,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
12,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
9,3
9,3
12,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
7,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
3,3
4,3
9,3
9,3
9,3
15,3
15,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
8,3
9,3
9,3
10,3
15,3
15,3
17,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
7,3
7,3
11,3
12,3
13,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
4,3
9,3
9,3
9,3
14,3
15,3
16,3
17,3
17,3
17,3
1,3
3,3
3,3
3,3
5,3
6,3
9,3
9,3
12,3
12,3
15,3
17,3
17,3
17,3
17,3
1,3
2,3
3,3
3,3
